Environment,Seed,Step,Reward,Runtime_Hours,Runtime_seconds
FingerSpin,44,26,732.34375,0.109541404,394.3490546
FingerSpin,44,33,868.2890625,0.109541404,394.3490546
FingerSpin,44,40,890.1015625,0.109541404,394.3490546
FingerSpin,44,46,913.1484375,0.109541404,394.3490546
FingerSpin,44,53,915.875,0.109541404,394.3490546
FingerSpin,44,60,856.8046875,0.109541404,394.3490546
AcrobotSwingup,44,0,2.372423649,0.045586724,164.1122053
AcrobotSwingup,44,6,3.887156248,0.045586724,164.1122053
AcrobotSwingup,44,13,5.861801147,0.045586724,164.1122053
AcrobotSwingup,44,20,8.685529709,0.045586724,164.1122053
AcrobotSwingup,44,26,10.14289665,0.045586724,164.1122053
AcrobotSwingup,44,33,8.335632324,0.045586724,164.1122053
AcrobotSwingup,44,40,17.85518646,0.045586724,164.1122053
AcrobotSwingup,44,46,21.67630577,0.045586724,164.1122053
AcrobotSwingup,44,53,26.59957886,0.045586724,164.1122053
AcrobotSwingup,44,60,38.43323517,0.045586724,164.1122053
PendulumSwingup,44,0,0.203125,0.045576569,164.0756481
PendulumSwingup,44,6,0.8515625,0.045576569,164.0756481
PendulumSwingup,44,13,11.578125,0.045576569,164.0756481
PendulumSwingup,44,20,6.4609375,0.045576569,164.0756481
PendulumSwingup,44,26,8.1171875,0.045576569,164.0756481
PendulumSwingup,44,33,39.71875,0.045576569,164.0756481
PendulumSwingup,44,40,48.046875,0.045576569,164.0756481
PendulumSwingup,44,46,51.4375,0.045576569,164.0756481
